src_ip,dst_ip,protocol,time_bin,start_time,end_time,packet_count,total_bytes,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,duration_s,packets_per_s,bytes_per_s
13.33.153.125,192.168.68.114,17,29512414,1770744893.037081,1770744893.123599,9,8879,986.5555555555555,521.3940714831516,91,1500,0.0865180492401123,104.02453683418622,102625.98472785995
13.33.153.52,192.168.68.114,17,29512414,1770744844.120397,1770744892.178215,71,70341,990.7183098591549,470.85736945942074,91,1500,48.0578179359436,1.4773870943253415,1463.6744450977303
13.33.153.52,192.168.68.114,17,29512415,1770744900.412188,1770744900.438227,2,465,232.5,200.11121907579295,91,374,0.02603888511657715,76.80820400128188,17857.907430298037
13.33.153.85,192.168.68.114,17,29512416,1770744983.293669,1770744983.320071,8,7659,957.375,547.409728370154,91,1500,0.026401996612548828,303.0073868048908,290091.6969423324
142.250.117.100,192.168.68.114,17,29512415,1770744905.471034,1770744905.559798,11,5024,456.72727272727275,493.80969834726636,72,1298,0.08876395225524902,123.92418003615334,56599.55277287585
142.250.117.101,192.168.68.114,6,29512429,1770745740.019685,1770745740.112689,28,30747,1098.107142857143,585.7828152257085,72,1472,0.09300398826599121,301.0623578842668,330598.7256381269
142.250.117.113,192.168.68.114,6,29512420,1770745232.547579,1770745232.679078,18,11759,653.2777777777778,660.1657372611782,72,1472,0.1314990520477295,136.88311603544213,89422.69785893134
142.250.117.113,192.168.68.114,6,29512421,1770745279.545851,1770745279.545851,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.113,192.168.68.114,6,29512422,1770745324.580146,1770745369.640759,2,144,72.0,0.0,72,72,45.06061291694641,0.04438466036150696,3.1956955460285013
142.250.117.113,192.168.68.114,6,29512423,1770745414.746055,1770745414.746055,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.113,192.168.68.114,6,29512424,1770745459.775651,1770745472.673707,3,289,96.33333333333333,42.14656965084268,72,145,12.898056030273438,0.23259319024189418,22.406477326635805
142.250.117.148,192.168.68.114,6,29512416,1770744966.127898,1770745011.351729,33,16834,510.1212121212121,606.5423396997812,72,1472,45.22383093833923,0.7297037715578341,372.23737243650237
142.250.117.148,192.168.68.114,6,29512417,1770745027.522106,1770745056.375456,2,144,72.0,0.0,72,72,28.853350162506104,0.06931604090116816,4.990754944884108
142.250.117.148,192.168.68.114,6,29512418,1770745103.403257,1770745103.403257,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.148,192.168.68.114,6,29512419,1770745148.455571,1770745193.510089,2,144,72.0,0.0,72,72,45.05451798439026,0.0443906646763578,3.196127856697762
142.250.117.148,192.168.68.114,6,29512420,1770745206.24802,1770745206.270535,2,217,108.5,51.61879502661797,72,145,0.022515058517456055,88.82943823794145,9637.994048816647
142.250.117.148,192.168.68.114,17,29512416,1770744966.230861,1770744966.284618,11,9227,838.8181818181819,583.2618311156351,72,1298,0.0537569522857666,204.6246956398327,171642.91515170332
142.250.117.148,192.168.68.114,17,29512427,1770745659.15121,1770745676.088099,25,10834,433.36,497.8261811783976,69,1298,16.936888933181763,1.4760680133540618,639.6688342671163
142.250.117.148,192.168.68.114,17,29512428,1770745689.523487,1770745689.667513,7,2367,338.14285714285717,467.6613548895641,69,1298,0.1440258026123047,48.6024022990028,16434.555177391372
142.250.117.149,192.168.68.114,6,29512414,1770744848.089286,1770744894.510115,33,16976,514.4242424242424,605.3465448765189,72,1472,46.4208288192749,0.7108877811827803,365.6979082836024
142.250.117.149,192.168.68.114,6,29512415,1770744913.108518,1770744939.601834,2,144,72.0,0.0,72,72,26.493316173553467,0.07549073837711824,5.435333163152513
142.250.117.149,192.168.68.114,6,29512416,1770744984.626794,1770744984.626794,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.149,192.168.68.114,6,29512417,1770745029.683085,1770745074.75284,2,144,72.0,0.0,72,72,45.06975507736206,0.04437565716891533,3.195047316161904
142.250.117.149,192.168.68.114,6,29512418,1770745088.217744,1770745088.236012,2,217,108.5,51.61879502661797,72,145,0.01826786994934082,109.48183918246956,11878.779551297946
142.250.117.149,192.168.68.114,17,29512414,1770744848.202074,1770744892.829237,53,27985,528.0188679245283,516.1079005612786,69,1298,44.62716293334961,1.18761750728262,627.0844517227192
142.250.117.149,192.168.68.114,17,29512415,1770744901.048984,1770744901.199701,8,1418,177.25,237.11766217278227,69,745,0.15071702003479004,53.079605728360065,9408.360115351821
142.250.117.149,192.168.68.114,17,29512416,1770744983.977985,1770744984.125277,21,10222,486.76190476190476,496.2037791837044,70,1298,0.1472921371459961,142.57380201622564,69399.49543856469
142.250.117.149,192.168.68.114,17,29512425,1770745534.353664,1770745545.318564,27,14960,554.074074074074,541.4322122443774,69,1298,10.964900016784668,2.4624027541217326,1364.3535259874488
142.250.117.154,192.168.68.114,6,29512414,1770744849.366455,1770744894.510113,30,30914,1030.4666666666667,622.5384482425402,72,1472,45.14365792274475,0.6645451737947244,684.7916500896704
142.250.117.154,192.168.68.114,6,29512415,1770744939.601743,1770744939.601743,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.154,192.168.68.114,6,29512416,1770744984.628703,1770744984.628703,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.154,192.168.68.114,6,29512417,1770745029.67476,1770745074.752797,2,144,72.0,0.0,72,72,45.07803678512573,0.044367504501880484,3.194460324135395
142.250.117.154,192.168.68.114,6,29512418,1770745089.433046,1770745089.454906,2,217,108.5,51.61879502661797,72,145,0.02185988426208496,91.4917927296127,9926.859511162978
142.250.117.155,192.168.68.114,6,29512421,1770745289.714665,1770745292.052726,23,9056,393.7391304347826,547.4477324483552,72,1472,2.3380610942840576,9.837210865117653,3873.2948519350202
142.250.117.155,192.168.68.114,6,29512422,1770745337.131193,1770745337.131193,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.155,192.168.68.114,6,29512423,1770745383.982046,1770745429.038664,2,144,72.0,0.0,72,72,45.056618213653564,0.044388595489262384,3.1959788752268916
142.250.117.155,192.168.68.114,6,29512424,1770745474.095955,1770745474.095955,1,72,72.0,0.0,72,72,0.0,1.0,72.0
142.250.117.155,192.168.68.114,6,29512425,1770745519.150117,1770745532.057557,3,289,96.33333333333333,42.14656965084268,72,145,12.907440185546875,0.2324240869509707,22.39018704294351
142.250.117.155,192.168.68.114,17,29512421,1770745292.016801,1770745292.103488,11,9307,846.0909090909091,578.3636320768197,72,1298,0.08668684959411621,126.89352596736443,107363.45874347824
142.250.117.155,192.168.68.114,17,29512423,1770745392.617349,1770745405.634482,20,7490,374.5,453.3291472974947,69,1298,13.017132997512817,1.5364366334600252,575.3955192307794
142.250.117.156,192.168.68.114,17,29512416,1770744966.313842,1770744966.465742,16,11499,718.6875,554.9315535871668,69,1298,0.151900053024292,105.33241879409526,75701.09273208134
142.250.117.156,192.168.68.114,17,29512421,1770745289.672161,1770745290.147595,37,33092,894.3783783783783,548.1638720589225,69,1298,0.4754338264465332,77.82365902852094,69603.7979614004
142.250.117.157,192.168.68.114,17,29512414,1770744848.784685,1770744894.791776,372,290703,781.4596774193549,591.8800198844692,69,1298,46.00709104537964,8.085710083975389,6318.656393929833
142.250.117.157,192.168.68.114,17,29512415,1770744900.357584,1770744902.733916,77,32418,421.012987012987,541.5744953740386,69,1298,2.3763320446014404,32.40287912412277,13642.032927867689
142.250.117.157,192.168.68.114,17,29512416,1770744981.361313,1770745005.262754,179,102614,573.2625698324023,576.6899769773773,69,1298,23.901440858840942,7.489088254434226,4293.213978438624
